HST_ID,CHSTNAME,HST_KURZ,SUM_DWV,SUM_DTV,EIN_DWV,AUS_DWV,EIN_DTV,AUS_DTV,NHSTID,DIVA_NR,CNAME,VTYP,ZONEN,LINIEN,E,N,lng,lat
651,"Spreitenbach, Shopping Center",SCEN,1337.09,1214.70276712329,695.58,641.51,632.033534246575,582.6692328767119,8590279.0,2384,Spreitenbach,Bus,184.0,303,2670171,1252599,8.3685507635,47.42045964729999
652,"Spreitenbach, Ikea",IKEA,341.42,296.727397260274,153.88,187.54,137.107178082192,159.62021917808198,8590275.0,6462,Spreitenbach,Bus,184.0,303,2670547,1252782,8.3735620435,47.4220652792
565,"Bergdietikon, Vorbühl",VORB,65.1484462151394,49.2620821917809,28.4959760956175,36.6524701195219,21.376684931506897,27.885397260274,8590205.0,2789,Bergdietikon,Bus,184.0,"305,315",2671459,1249188,8.385072971900001,47.3896442404
611,"Dietikon, Weidstrasse",WEST,62.65,49.3068219178082,40.47,22.18,30.703698630137,18.6031232876712,8590536.0,6694,Dietikon,Bus,154.0,325,2671666,1250433,8.3880138066,47.4008187155
569,"Bergdietikon, Baltenschwil",DBAL,137.270916334661,109.962246575343,58.8094023904382,78.46151394422309,46.3943561643836,63.5678904109589,8590200.0,425,Bergdietikon,Bus,184.0,"305,315",2672021,1249544,8.3925730342,47.3927847473
562,"Dietikon, Gjuchstrasse",GJUC,1136.37,973.734657534246,603.55,532.82,515.3305479452049,458.4041095890409,8590218.0,990,Dietikon,Bus,154.0,303,2672053,1251227,8.3932679909,47.407917342299996
550,"Oetwil an der Limmat, Post",OPOS,417.609,325.333750684931,247.412,170.197,191.90452602739697,133.429224657534,8590739.0,1964,Oetwil an der Limmat,Bus,154.0,"301,N30",2672142,1253441,8.3948044223,47.427819138100006
553,"Oetwil an der Limmat, Oberdorf",OBDO,128.5382,109.313063561644,36.5366,92.0016,26.367798904109602,82.9452646575343,8590738.0,1759,Oetwil an der Limmat,Bus,154.0,301,2672389,1253434,8.3980767354,47.4277290721
607,"Dietikon, Stadthaus",DSTA,389.4,316.2124931506851,206.28,183.12,160.51791780821898,155.69457534246598,8590223.0,3344,Dietikon,Bus,154.0,"305,306,325",2672636,1250636,8.4008954907,47.402538147200005
614,"Dietikon, Kirchplatz",KIPL,157.34,133.263506849315,9.89,147.44999999999996,7.53646575342466,125.72704109589,8590219.0,1417,Dietikon,Bus,154.0,"305,306,325",2672819,1250905,8.4033634084,47.4049371915
559,"Dietikon, Rapidplatz",DRAP,637.428,492.842597260274,324.9252,312.5028,254.30834301369896,238.53425424657496,8590514.0,1039,Dietikon,Bus,154.0,309,2672934,1251493,8.4049827434,47.4102126351
206,"Geroldswil, Zentrum",ZENT,1510.7832589641403,1258.51703561644,772.1179378486058,738.6653211155378,646.600664109589,611.916371506849,8590618.0,2982,Geroldswil,Bus,154.0,"301,302,304,N30",2673255,1252747,8.4094410079,47.4214547979
208,"Fahrweid, Brunaustrasse",BRUS,559.481598406374,467.47551013698603,264.53310438247,294.948494023904,221.57410739726,245.901402739726,8590602.0,548,Fahrweid,Bus,154.0,"301,302,304,N30",2673612,1251969,8.4140435463,47.4144180858
193,"Urdorf, Feldegg",FEGG,1051.15844621514,854.776356164383,492.19,558.9684462151391,402.870219178082,451.90613698630096,8590837.0,831,Urdorf,Bus,154.0,"302,308,311,N30",2674689,1249493,8.4278996186,47.3920290005
185,"Schlieren, Talacker-Windegg",TAWI,296.7307968127491,263.22616438356204,158.398486055777,138.33231075697202,139.287397260274,123.938767123288,8590802.0,2631,Schlieren,Bus,154.0,"302,308",2676173,1251023,8.447814019600001,47.4056190521
158,"Zürich, Sihlcity Nord",SIHN,14980.7125498008,13104.500794520603,7531.0777689243005,7449.63478087649,6594.3157260274,6510.18506849315,8591366.0,2771,Zürich,"Bus,Tram,Trolleybus",110.0,"5,13,17,72,N12",2681920,1246034,8.5230313124,47.360061328
63,"Zürich, Neuaffoltern",NEUA,3888.6441832669398,3457.3710958904094,2020.63569721116,1868.0084860557797,1784.8498082191802,1672.5212876712299,8591285.0,1705,Zürich,"Bus,Trolleybus",110.0,"32,61,62,N1",2681991,1251793,8.5250263898,47.4118452759
172,"Zürich, Rosengartenstrasse",ROSE,6687.25886932271,5842.60300328768,3425.0259374502,3262.2329318725097,2977.1347405479496,2865.46826273973,8591323.0,2104,Zürich,"Bus,Trolleybus",110.0,"33,46,72,83,N1,N7,N8",2682051,1249846,8.5254640217,47.394327821400005
215,"Zürich, Bezirksgebäude",BEZI,5745.6905976095695,5129.26126027398,2730.9028685259,3014.78772908367,2428.10054794521,2701.1607123287695,8591079.0,478,Zürich,"Bus,Tram",110.0,"2,3,N14",2682089,1247605,8.5255561707,47.3741689542
480,"Zürich, Hürlimannplatz",HURL,213.23,146.632136986301,86.59999999999998,126.63,59.5523287671233,87.07980821917809,8591205.0,1865,Zürich,Bus,110.0,66,2682177,1246594,8.526535646000001,47.3650656536
488,"Zürich, Weihersteig",WEIH,321.9702390438251,256.038054794521,127.422629482072,194.547609561753,103.803178082192,152.234876712329,8591425.0,2858,Zürich,Bus,110.0,69,2682287,1250246,8.528663245499999,47.3978957129
267,"Adliswil, Grüt",GRUT,267.14,215.32334246575402,109.72000000000001,157.41999999999996,88.7957808219178,126.52756164383601,8590472.0,6437,Adliswil,Bus,150.0,"184,N12",2682427,1241858,8.5289737649,47.3224413615
241,"Zürich, Limmatplatz",LIMM,32424.045458167402,28241.665068493105,16377.3756972112,16046.669760956198,14271.745698630099,13969.919369863,8591257.0,1557,Zürich,"Bus,Tram,Trolleybus",110.0,"4,13,17,32,N1,N4,N5,N7,N13",2682531,1248771,8.5316229129,47.384600012700005
477,"Zürich, Kalchbühlweg",KALB,269.01,226.11832876712296,152.75,116.26,129.220849315068,96.89747945205481,8591217.0,1356,Zürich,Bus,110.0,66,2682591,1243872,8.5315138927,47.3405337534
319,"Zürich, Brunaustrasse",BRUN,2462.3991633466094,2196.7629315068493,1189.1076095617502,1273.2915537848598,1058.858,1137.90493150685,8591100.0,547,Zürich,"Bus,Tram",110.0,"7,N15",2682620,1245607,8.532217514800001,47.3561337618
766,"Rümlang, Letten",RLET07,0.0,0.16668493150684902,0.0,0.0,0.0,0.16668493150684902,8590765.0,1542,Rümlang,Bus,121.0,"742,N6",2682693,1254770,8.534877893300001,47.4385303555
478,"Zürich, Widmerstrasse",WIDM,612.3,505.43238356164306,323.45,288.85,264.244739726027,241.187643835616,8591430.0,2889,Zürich,Bus,110.0,66,2682701,1243456,8.5328925263,47.336778678900004
416,"Zürich, Nordstrasse",NORS,3174.3708366533897,2866.4073972602696,1500.61310756972,1673.75772908367,1350.5183835616401,1515.8890136986302,8591291.0,1745,Zürich,Trolleybus,110.0,"32,46",2682868,1249190,8.5361629915,47.3883259205
110,"Zürich, Kronenstrasse",KRON,5642.94235059761,4776.6224931506895,2677.13637450199,2965.8059760956203,2273.2328493150694,2503.38964383562,8591237.0,1468,Zürich,Tram,110.0,"11,14",2683106,1249166,8.539310290700001,47.388080098900005
111,"Zürich, Beckenhof",BECK,3006.31621513944,2426.2707123287596,1442.4834262948195,1563.8327888446204,1159.71649315068,1266.55421917808,8591071.0,435,Zürich,Tram,110.0,"11,14",2683198,1248723,8.540446234500001,47.384084438
347,"Zürich, Scheuchzerstrasse",SCHZ,1502.10844581673,1308.64997232877,732.02330876494,770.085137051793,638.140576712329,670.509395616438,8591339.0,2164,Zürich,Trolleybus,110.0,33,2683459,1249139,8.5439798938,47.387792652200005
60,"Zürich, Bahnhof Oerlikon",BOER,23831.185856573695,21045.1093424657,12368.4693625498,11462.716494023902,10909.7966849315,10135.312657534201,8580449.0,3034,Zürich,"Bus,Tram",110.0,"11,61,62,94,768,781,787",2683489,1251772,8.5448687461,47.4114681896
130,"Zürich, Universität Irchel",IRCH,5402.97601593625,4120.84646575342,2421.40294820717,2981.5730677290803,1852.456,2268.39046575342,8591406.0,1334,Zürich,Tram,110.0,"9,10",2683510,1250070,8.5448290726,47.396158964099996
299,"Kilchberg ZH, Sanatorium",SANK,231.09,193.97191780821896,122.87,108.22000000000001,101.21641095890399,92.75550684931507,8590685.0,2154,Kilchberg ZH,Bus,150.0,"161,N15",2683590,1242393,8.5444556763,47.3271065162
398,"Zürich, Salersteig",SALE,3201.56752988048,2788.3355890411,1534.4136254980099,1667.15390438247,1341.11797260274,1447.21761643836,8591332.0,2151,Zürich,"Bus,Tram",110.0,"10,14,N6",2683770,1251177,8.5484800526,47.4060815116
724,"Kilchberg ZH, Bahnhof",BKIL,489.87,366.043643835616,350.39,139.48,261.19180821917803,104.85183561643801,8590673.0,1391,Kilchberg ZH,Bus,150.0,"162,163",2683868,1242094,8.5480769868,47.324382169799996
139,"Zürich, Kunsthaus",KUNS,15172.523218326702,12361.7630076712,7761.992704382469,7410.53051394422,6286.815010410959,6074.947997260269,8591239.0,1472,Zürich,"Tram,Trolleybus",110.0,"3,5,9,31",2683876,1247215,8.5491414307,47.370436501
370,"Schlieren, Gasometerbrücke",GASO,2686.11822191235,2200.67206493151,1283.18101912351,1402.93720278884,1052.46108438356,1148.21098054795,8590791.0,935,Schlieren,"Bus,Trolleybus",154.0,"31,N2",2677128,1250158,8.4603158685,47.3977285983
639,"Zürich, Am Suteracher",AMSU,441.91,372.76802739725997,213.61,228.3,179.66819178082204,193.09983561643799,8591044.0,92,Zürich,Bus,110.0,35,2677852,1249413,8.469775711799999,47.3909433236
34,"Zürich, Dunkelhölzli",DUNK,1648.8699999999997,1451.8894520548001,806.82,842.0499999999998,703.558794520548,748.3306575342469,8591116.0,716,Zürich,Bus,110.0,"35,67,78,N13",2677876,1249185,8.4700538671,47.3888899833
638,"Zürich, Feusisbergli",FEUS,219.24,184.90789041095897,117.68,101.56,97.8323835616438,87.07550684931509,8591130.0,852,Zürich,Bus,110.0,35,2677940,1249606,8.470974764700001,47.3926686501
36,"Zürich, Rautihalde",RAUH,1218.58,1088.992,528.6,689.98,471.6071232876711,617.3848767123291,8591310.0,2033,Zürich,Bus,110.0,"35,67,78,N13",2678186,1248887,8.4741071121,47.38617322100001
238,"Zürich, Werdhölzli",WERD,1113.00183266932,975.9790684931507,559.6829880478089,553.318844621514,489.2194794520549,486.759589041096,8591428.0,2872,Zürich,"Bus,Tram",110.0,"17,307",2678766,1250191,8.482017237,47.397831544700004
83,"Zürich, Winzerstrasse Süd",WINS,1509.4071713147398,1317.03687671233,789.584940239044,719.8222310756969,683.8998356164379,633.1370410958901,8591436.0,6015,Zürich,Bus,110.0,"80,89,304,308",2679068,1250811,8.4861268997,47.4033712589
81,"Zürich, Winzerhalde",WINH,1182.3790438246997,1094.79167123288,682.6404780876491,499.738565737052,627.1570410958901,467.634630136986,8591434.0,2934,Zürich,Bus,110.0,"80,89,304,308",2679710,1250451,8.4945669976,47.4000562599
703,"Zürich, Zielweg",ZIEL,91.13,77.4404657534246,28.89,62.24,24.829671232876695,52.6107945205479,8591441.0,2998,Zürich,Bus,110.0,73,2680000,1245870,8.4975893783,47.3588222304
225,"Zürich, Freihofstrasse",FREI,5598.202629482071,4879.318849315071,2908.5468525896395,2689.6557768924295,2530.60575342466,2348.7130958904095,8591138.0,883,Zürich,Tram,110.0,2,2680098,1248585,8.4993722085,47.383227529799996
143,"Zürich, Talwiesenstrasse",TALW,4929.141792828691,4332.92517808219,2407.2960956175298,2521.84569721116,2119.52635616438,2213.3988219178095,8591390.0,2638,Zürich,"Bus,Tram",110.0,"9,14,N5",2680894,1247119,8.5096474715,47.369945934200004
232,"Zürich, Fischerweg",FWEG,3837.87334661354,3051.24139726027,1943.83729083665,1894.0360557768897,1547.7021369863003,1503.53926027397,8591131.0,857,Zürich,"Bus,Tram",110.0,"8,17,N13",2681045,1249748,8.5121225645,47.393571016
65,"Zürich, Einfangstrasse",EINF,3472.5453784860497,3061.73252054794,1764.3893227091598,1708.1560557768898,1552.29802739726,1509.4344931506798,8591118.0,767,Zürich,"Bus,Trolleybus",110.0,"32,61,62,N1",2681072,1252209,8.5129263898,47.4157002772
168,"Zürich, Hardplatz",HARP,12266.805575697199,10799.105642465802,6373.8183402390405,5892.98723545817,5603.373433972602,5195.73220849315,8591177.0,1122,Zürich,"Bus,Tram,Trolleybus",110.0,"8,31,33,72,83,N2,N5,N8",2681244,1248502,8.5145318627,47.382340758999995
545,"Zürich, Rebbergsteig",REBE,468.291235059761,414.883616438356,205.95776892430297,262.33346613545797,181.82,233.063616438356,8591312.0,2035,Zürich,"Bus,Trolleybus",110.0,"46,N8",2681250,1250135,8.5149078943,47.3970261893
621,"Zürich, Marbachweg",MARB,849.4299999999998,753.9881917808221,445.64,403.79,397.526684931507,356.461506849315,8591270.0,1615,Zürich,Bus,110.0,"70,N12",2681387,1242723,8.5153753316,47.3303499196
525,"Zürich, Rigiblick",BERG,51.3,53.017260273972596,23.09,28.21,23.0509315068493,29.966328767123297,8530473.0,2090,Zürich,"Bus,Standseilbahn",110.0,"23,39",2684172,1249098,8.5534140911,47.387333211000005
281,"Rüschlikon, Weidstrasse",WEID,95.69,80.011205479452,42.18,53.51,34.2958904109589,45.7153150684931,8590784.0,2852,Rüschlikon,Bus,150.0,"165,N15",2684265,1240023,8.5529390035,47.3057060151
323,"Zürich, Voltastrasse",VOLT,1321.92482071713,1131.04556164384,550.029123505976,771.8956972111549,483.110164383562,647.9353972602742,8591412.0,2788,Zürich,"Bus,Tram",110.0,"5,6,N17",2684272,1247936,8.5545194956,47.3768701827
590,"Glattbrugg, Bahnhof",BGLA07,5686.14,4557.06608219178,2931.76,2754.38,2350.4052602739694,2206.66082191781,8590620.0,994,Glattbrugg,"Bus,Tram",121.0,"10,12,761,762,764",2684552,1253911,8.5593565453,47.4305690246
412,"Zürich, Englischviertelstrasse",ENGV,1593.63892430279,1401.19021917808,760.7157370517931,832.923187250996,667.571643835616,733.6185753424659,8591119.0,788,Zürich,Tram,110.0,8,2684564,1246813,8.5581733714,47.366733242600006
592,"Glattbrugg, Unterriet",UNTR07,2838.58,2355.08958904109,1420.42,1418.16,1188.30126027397,1166.7883287671202,8573244.0,2758,Glattbrugg,"Bus,Tram",121.0,"10,12,510",2684726,1254699,8.5618120852,47.437633265600006
355,"Zürich, Hofstrasse",HOFS,848.545505976096,732.3728,344.56617011952204,503.97933585657404,304.511475890411,427.8613241095889,8591196.0,3469,Zürich,Trolleybus,110.0,33,2684809,1247554,8.561556875199999,47.3733658292
28,"Zürich, Wonnebergstrasse",WONE,221.94,189.20750684931497,99.19,122.75,83.79810958904109,105.40939726027399,8591440.0,2956,Zürich,Bus,110.0,77,2685220,1245167,8.5665437985,47.3518456567
665,"Zürich, Flobotstrasse",FLOB,12.85,12.5982191780822,6.06,6.79,5.48783561643836,7.1103835616438404,8591132.0,859,Zürich,Bus,110.0,39,2685287,1248363,8.568039227,47.380579728
340,"Zürich, Friedrichstrasse",FRDR,497.731633466135,445.038684931507,201.93003984063697,295.801593625498,181.120273972603,263.918410958904,8591148.0,901,Zürich,Bus,110.0,"75,N11",2685327,1250961,8.5690644453,47.403939072700005
6,"Zollikon, Felbenstrasse",FBST,529.85,432.194767123288,281.01,248.84,227.34101369862998,204.853753424658,8576202.0,824,Zollikon,Bus,140.0,"910,912,916,N18",2685467,1244210,8.5696299345,47.3432070007
474,"Opfikon, Schwimmbad",OSCH07,0.0,0.8405479452054789,0.0,0.0,0.0,0.8405479452054789,8594553.0,6808,Opfikon,Bus,121.0,"759,N7",2685467,1254157,8.5715302187,47.4326631714
434,"Zürich, Zoo",ZOO,5211.934143426291,5241.064849315071,2514.4271314741,2697.5070119521897,2537.68517808219,2703.37967123288,8591442.0,3005,Zürich,"Bus,Tram",110.0,"6,39,E,N17",2685551,1248477,8.571556559400001,47.3815707368
32,"Zürich, Bleulerstrasse",BLEU,321.45,273.49098630137,200.84,120.61000000000001,170.08597260273996,103.40501369863001,8591089.0,508,Zürich,Bus,110.0,77,2685609,1244653,8.5715934272,47.3471726525
666,"Zürich, Im Klösterli",IKLO,47.307689243027895,48.5321369863014,28.137689243027896,19.17,30.957698630137,17.5744383561644,8591211.0,1311,Zürich,Bus,110.0,"39,E",2685952,1248823,8.5769326267,47.3846302206
441,"Zürich, Zoo/Forrenweid",ZOOF,106.8368,108.22388164383601,40.9,65.9368,40.5837808219178,67.6401008219178,8591443.0,4,Zürich,Bus,110.0,751,2686046,1248365,8.5780892711,47.3804990255
