field_1,Haltestellen_Id,ein_dtv,aus_dtv,ein_dwv,aus_dwv,HALTESTELLEN_Haltestellennummer,HALTESTELLEN_Haltestellenkurzname,HALTESTELLEN_Haltestellenlangname,sum_dtv,sum_dwv
"1","4",3957.96723041096,3721.36332493151,4409.29413984064,4205.25375936255,"3041",BTIE,"Zürich, Bahnhof Tiefenbrunnen",7679.33055534247,8614.54789920319
"2","5",68.8260547945205,71.1800821917808,89.01,90.07,"418",BUEB,"Zollikon, Bahnübergang",140.006136986301,179.08
"3","6",227.34101369863,204.853753424658,281.01,248.84,"824",FBST,"Zollikon, Felbenstrasse",432.194767123288,529.85
"4","7",439.256438356164,376.625890410959,547.04,458.35,"715",DUFP,"Zollikon, Dufourplatz",815.882328767123,1005.39
"5","8",303.385397260274,343.808630136986,364.65,416.85,"476",BEUG,"Zollikon, Beugi",647.19402739726,781.5
"6","9",193.554109589041,197.706082191781,233.43,235.66,"1013",GOHA,"Zollikon, Goldhaldenplatz",391.260191780822,469.09
"7","10",110.409178082192,116.843150684932,132.49,139.19,"610",BUEH,"Küsnacht ZH, Bühlstrasse",227.252328767124,271.68
"8","11",71.2181095890411,96.8892054794521,86.65,117.46,"1011",GOBA,"Küsnacht ZH, Goldbacherstrasse",168.107315068493,204.11
"9","12",88.0442191780822,109.128054794521,107.88,133.28,"516",BOGL,"Küsnacht ZH, Boglerenstrasse",197.172273972603,241.16
"10","13",195.550821917808,228.412219178082,206.75,253.84,"2168",SIHE,"Küsnacht ZH, Schiedhaldenstr.",423.96304109589,460.59
"11","14",29.5462465753425,45.439095890411,36.08,54.65,"2167",SIHG,"Küsnacht ZH, Schiedhaldensteig",74.9853424657535,90.73
"12","15",114.579342465753,138.969780821918,140.46,168.77,"2327",SUEB,"Küsnacht ZH, Schübel",253.549123287671,309.23
"13","16",184.034794520548,164.305808219178,219,193.2,"2695",TAEG,"Itschnach, Tägermoos",348.340602739726,412.2
"14","17",52.7756164383562,67.2766301369863,66.2,81.59,"2038",REBW,"Itschnach, Rebweg",120.052246575343,147.79
"15","18",299.378657534247,289.180739726027,365.49,350.67,"1341",ITDO,"Itschnach, Dorf",588.559397260274,716.16
"16","19",239.680465753425,271.540767123288,280.79,310.82,"1342",ITFA,"Itschnach, Fallacher",511.221232876713,591.61
