NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N,fahrgastza,fahrgast_1,fahrgast_2,fahrgast_3,fahrgast_4,fahrgast_5,fahrgast_6,fahrgast_7,fahrgast_8,fahrgast_9,lng,lat
"8590279","2384",,,"Spreitenbach, Shopping Center",Spreitenbach,Bus,"&nbsp;","0",,"184","2",Bus,"303","2670171","1252599","632","651",632.033534246574959,582.669232876712044,695.580000000000041,641.509999999999991,"2384",SCEN,1214.702767123289959,1337.089999999999918,8.368550763493712,47.420459647278442
"8590275","6462",,,"Spreitenbach, Ikea",Spreitenbach,Bus,"&nbsp;","0",,"184","2",Bus,"303","2670547","1252782","633","652",137.107178082192007,159.620219178082010,153.879999999999995,187.539999999999992,"6462",IKEA,296.727397260274017,341.420000000000016,8.373562043527386,47.422065279223887
"8590205","2789",,,"Bergdietikon, Vorbühl",Bergdietikon,Bus,"&nbsp;","0",,"184","2",Bus,"305,315","2671459","1249188","548","565",21.376684931506901,27.885397260274001,28.495976095617500,36.652470119521901,"2789",VORB,49.262082191780898,65.148446215139401,8.385072971871672,47.389644240375134
"8590536","6694",,,"Dietikon, Weidstrasse",Dietikon,Bus,"&nbsp;","0",,"154","2",Bus,"325","2671666","1250433","593","611",30.703698630137001,18.603123287671199,40.469999999999999,22.180000000000000,"6694",WEST,49.306821917808200,62.649999999999999,8.388013806567590,47.400818715532822
"8590200","425",,,"Bergdietikon, Baltenschwil",Bergdietikon,Bus,"&nbsp;","0",,"184","2",Bus,"305,315","2672021","1249544","552","569",46.394356164383602,63.567890410958903,58.809402390438201,78.461513944223100,"425",DBAL,109.962246575343002,137.270916334660996,8.392573034187158,47.392784747349239
"8590218","990",,,"Dietikon, Gjuchstrasse",Dietikon,Bus,"&nbsp;","0",,"154","2",Bus,"303","2672053","1251227","545","562",515.330547945205012,458.404109589041013,603.549999999999955,532.820000000000050,"990",GJUC,973.734657534246026,1136.369999999999891,8.393267990917206,47.407917342323501
"8590739","1964",,,"Oetwil an der Limmat, Post",Oetwil an der Limmat,Bus,"&nbsp;","0",,"154","2",Bus,"301,N30","2672142","1253441","533","550",191.904526027396997,133.429224657534007,247.412000000000006,170.197000000000003,"1964",OPOS,325.333750684930976,417.608999999999980,8.394804422290916,47.427819138105150
"8590738","1759",,,"Oetwil an der Limmat, Oberdorf",Oetwil an der Limmat,Bus,"&nbsp;","0",,"154","2",Bus,"301","2672389","1253434","536","553",26.367798904109598,82.945264657534295,36.536600000000000,92.001599999999996,"1759",OBDO,109.313063561644000,128.538199999999989,8.398076735425134,47.427729072053246
"8590223","3344",,,"Dietikon, Stadthaus",Dietikon,Bus,"&nbsp;","0",,"154","2",Bus,"305,306,325","2672636","1250636","589","607",160.517917808219011,155.694575342466010,206.280000000000001,183.120000000000005,"3344",DSTA,316.212493150685020,389.399999999999977,8.400895490721563,47.402538147187720
"8590219","1417",,,"Dietikon, Kirchplatz",Dietikon,Bus,"&nbsp;","0",,"154","2",Bus,"305,306,325","2672819","1250905","596","614",7.536465753424660,125.727041095890002,9.890000000000001,147.449999999999989,"1417",KIPL,133.263506849315007,157.340000000000003,8.403363408411488,47.404937191548861
"8590514","1039",,,"Dietikon, Rapidplatz",Dietikon,Bus,"&nbsp;","0",,"154","2",Bus,"309","2672934","1251493","542","559",254.308343013698988,238.534254246574989,324.925200000000018,312.502799999999979,"1039",DRAP,492.842597260273976,637.427999999999997,8.404982743419627,47.410212635095888
"8590618","2982",,,"Geroldswil, Zentrum",Geroldswil,Bus,"&nbsp;","0",,"154","2",Bus,"301,302,304,N30","2673255","1252747","198","206",646.600664109589047,611.916371506849032,772.117937848605948,738.665321115537949,"2982",ZENT,1258.517035616439898,1510.783258964140032,8.409441007942943,47.421454797863483
"8590602","548",,,"Fahrweid, Brunaustrasse",Fahrweid,Bus,"&nbsp;","0",,"154","2",Bus,"301,302,304,N30","2673612","1251969","200","208",221.574107397260008,245.901402739725995,264.533104382470015,294.948494023904004,"548",BRUS,467.475510136985974,559.481598406374019,8.414043546254266,47.414418085819285
"8590837","831",,,"Urdorf, Feldegg",Urdorf,Bus,"&nbsp;","0",,"154","2",Bus,"302,308,311,N30","2674689","1249493","185","193",402.870219178081982,451.906136986301021,492.189999999999998,558.968446215139011,"831",FEGG,854.776356164382946,1051.158446215139975,8.427899618626522,47.392029000546088
"8590802","2631",,,"Schlieren, Talacker-Windegg",Schlieren,Bus,"&nbsp;","0",,"154","2",Bus,"302,308","2676173","1251023","177","185",139.287397260273991,123.938767123288002,158.398486055776999,138.332310756971992,"2631",TAWI,263.226164383561979,296.730796812749020,8.447814019611545,47.405619052091623
